epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.6,2.19892,2.39339,1.57351,0.54224,0.51008,0.46271,0.22946,1.77672,1.68789,1.34204,0.000299259,0.000299259,0.000299259
2,56.0323,2.1233,1.58661,1.51131,0.66006,0.50564,0.49298,0.24595,1.83697,1.58886,1.37779,0.000592322,0.000592322,0.000592322
3,82.4487,2.1289,1.48011,1.53398,0.6456,0.47814,0.4625,0.20707,2.07719,1.60454,1.48214,0.000875386,0.000875386,0.000875386
4,109.018,2.10307,1.42627,1.53099,0.6967,0.513,0.4987,0.24638,1.70059,1.47445,1.36277,0.000864004,0.000864004,0.000864004
5,135.332,2.10438,1.37244,1.52768,0.67652,0.44251,0.48326,0.22948,1.84147,1.46588,1.40032,0.000849006,0.000849006,0.000849006
6,161.51,2.0819,1.36724,1.51494,0.61374,0.38445,0.39699,0.19623,1.94834,1.79807,1.4399,0.000834007,0.000834007,0.000834007
7,187.642,2.08354,1.33753,1.51639,0.6199,0.47023,0.45416,0.23528,1.71819,1.61606,1.34688,0.000819009,0.000819009,0.000819009
8,213.923,2.03737,1.31233,1.48683,0.68676,0.43459,0.48493,0.2362,1.7894,1.51452,1.36759,0.00080401,0.00080401,0.00080401
9,240.064,2.05091,1.27522,1.48218,0.65259,0.4841,0.47494,0.23098,1.96232,1.50691,1.39744,0.000789012,0.000789012,0.000789012
10,266.186,2.01676,1.23522,1.46843,0.68138,0.41404,0.47342,0.25057,1.70415,1.561,1.30378,0.000774013,0.000774013,0.000774013
11,292.371,2.00174,1.24786,1.46343,0.66172,0.51449,0.50309,0.26785,1.71904,1.40354,1.34147,0.000759015,0.000759015,0.000759015
12,318.62,1.99611,1.22957,1.44377,0.6286,0.43344,0.44553,0.22933,1.64589,1.62694,1.28742,0.000744016,0.000744016,0.000744016
13,344.804,1.97567,1.20996,1.44487,0.63443,0.4759,0.45703,0.21484,1.77316,1.52309,1.34618,0.000729018,0.000729018,0.000729018
14,370.87,1.97323,1.1658,1.43894,0.67177,0.43045,0.45578,0.21837,1.83345,1.78717,1.37011,0.000714019,0.000714019,0.000714019
15,397.074,1.96552,1.17265,1.4388,0.64087,0.44319,0.47241,0.24453,1.69811,1.56611,1.30783,0.000699021,0.000699021,0.000699021
16,423.351,1.93917,1.13567,1.4287,0.64203,0.48648,0.49065,0.24302,1.78521,1.51109,1.35683,0.000684022,0.000684022,0.000684022
17,449.139,1.92212,1.12692,1.42193,0.46895,0.4943,0.46785,0.22655,1.76827,1.66457,1.35856,0.000669024,0.000669024,0.000669024
18,478.795,1.92295,1.13241,1.40588,0.62068,0.46553,0.4639,0.22046,1.80475,1.49348,1.38458,0.000654025,0.000654025,0.000654025
19,518.362,1.88856,1.09848,1.39243,0.59488,0.53944,0.47945,0.24442,1.6396,1.50719,1.29206,0.000639027,0.000639027,0.000639027
